iter	Passed	Remaining
0	2	284
1	4	242
2	7	245
3	9	225
4	11	212
5	12	201
6	14	195
7	16	190
8	18	184
9	19	179
10	21	177
11	23	173
12	25	169
13	27	166
14	28	164
15	30	161
16	32	158
17	33	154
18	35	151
19	37	148
20	38	144
21	39	141
22	41	138
23	42	135
24	44	132
25	45	129
26	46	125
27	47	122
28	48	119
29	50	117
30	51	115
31	52	112
32	53	109
33	54	106
34	55	103
35	56	100
36	57	97
37	58	94
38	58	92
39	59	89
40	60	86
41	60	83
42	61	81
43	61	78
44	62	76
45	63	74
46	64	72
47	64	70
48	65	68
49	66	66
50	66	64
51	67	62
52	67	60
53	68	58
54	68	56
55	69	54
56	70	52
57	70	51
58	71	49
59	72	48
60	72	46
61	73	44
62	73	43
63	74	41
64	75	40
65	75	38
66	76	37
67	76	36
68	77	34
69	78	33
70	78	32
71	79	30
72	79	29
73	80	28
74	80	26
75	81	25
76	82	24
77	82	23
78	83	22
79	83	20
80	84	19
81	84	18
82	85	17
83	86	16
84	86	15
85	87	14
86	87	13
87	88	12
88	89	11
89	89	9
90	90	8
91	90	7
92	91	6
93	92	5
94	92	4
95	93	3
96	93	2
97	94	1
98	94	0
99	95	0
